,version,id,key,name,title,blurb,image,partype,attack,defense,magic,difficulty,tag1,tag2,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
0,9.2.1,Aatrox,266,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...","{'full': 'Aatrox.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 0, 'y': 0, 'w': 48, 'h': 48}",Blood Well,8,4,3,4,Fighter,Tank,580.0,80.0,0.0,0.0,345.0,33.0,3.25,32.1,1.25,175.0,5.0,0.25,0.0,0.0,0.0,0.0,60.0,5.0,2.5,0.651
1,9.2.1,Ahri,103,Ahri,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...","{'full': 'Ahri.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 48, 'y': 0, 'w': 48, 'h': 48}",Mana,3,4,8,5,Mage,Assassin,526.0,92.0,418.0,25.0,330.0,20.88,3.5,30.0,0.5,550.0,6.5,0.6,8.0,0.8,0.0,0.0,53.04,3.0,2.0,0.668
2,9.2.1,Akali,84,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...","{'full': 'Akali.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 0, 'w': 48, 'h': 48}",Energy,5,3,8,7,Assassin,,550.0,85.0,200.0,0.0,345.0,23.0,3.5,32.1,1.25,125.0,3.5,0.5,50.0,0.0,0.0,0.0,62.4,3.3,3.2,0.625
3,9.2.1,Alistar,12,Alistar,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...","{'full': 'Alistar.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 144, 'y': 0, 'w': 48, 'h': 48}",Mana,6,9,5,7,Tank,Support,573.36,106.0,278.84,38.0,330.0,44.0,3.5,32.1,1.25,125.0,8.5,0.85,8.5,0.8,0.0,0.0,61.1116,3.62,2.125,0.625
4,9.2.1,Amumu,32,Amumu,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...","{'full': 'Amumu.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 192, 'y': 0, 'w': 48, 'h': 48}",Mana,2,6,8,3,Tank,Mage,613.12,84.0,287.2,40.0,335.0,33.0,3.8,32.1,1.25,125.0,9.0,0.85,7.382,0.525,0.0,0.0,53.38,3.8,2.18,0.736
5,9.2.1,Anivia,34,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...","{'full': 'Anivia.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 0, 'w': 48, 'h': 48}",Mana,1,4,10,10,Mage,Support,480.0,82.0,495.0,25.0,325.0,21.22,4.0,30.0,0.5,600.0,5.5,0.55,8.0,0.8,0.0,0.0,51.376,3.2,1.68,0.625
6,9.2.1,Annie,1,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...","{'full': 'Annie.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 288, 'y': 0, 'w': 48, 'h': 48}",Mana,2,3,10,6,Mage,,524.0,88.0,418.0,25.0,335.0,19.22,4.0,30.0,0.5,625.0,5.5,0.55,8.0,0.8,0.0,0.0,50.41,2.625,1.36,0.579
7,9.2.1,Ashe,22,Ashe,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...","{'full': 'Ashe.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 336, 'y': 0, 'w': 48, 'h': 48}",Mana,7,3,2,4,Marksman,Support,539.0,85.0,280.0,32.0,325.0,26.0,3.4,30.0,0.5,600.0,3.5,0.55,6.972,0.4,0.0,0.0,61.0,2.96,3.33,0.658
8,9.2.1,AurelionSol,136,Aurelion Sol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...","{'full': 'AurelionSol.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 384, 'y': 0, 'w': 48, 'h': 48}",Mana,2,3,8,7,Mage,Fighter,510.0,92.0,350.0,50.0,325.0,19.0,3.6,30.0,0.5,550.0,7.0,0.6,6.0,0.8,0.0,0.0,57.0,3.2,1.36,0.625
9,9.2.1,Azir,268,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...","{'full': 'Azir.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 432, 'y': 0, 'w': 48, 'h': 48}",Mana,6,3,8,9,Mage,Marksman,552.0,92.0,438.0,21.0,335.0,19.04,3.0,30.0,0.5,525.0,7.0,0.55,8.0,0.8,0.0,0.0,52.0,2.8,1.5,0.625
10,9.2.1,Bard,432,Bard,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...","{'full': 'Bard.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 0, 'y': 48, 'w': 48, 'h': 48}",Mana,4,4,5,9,Support,Mage,535.0,89.0,350.0,50.0,330.0,34.0,4.0,30.0,0.5,500.0,7.5,0.55,6.0,0.45,0.0,0.0,52.0,3.0,2.0,0.625
11,9.2.1,Blitzcrank,53,Blitzcrank,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...","{'full': 'Blitzcrank.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 48, 'y': 48, 'w': 48, 'h': 48}",Mana,4,8,5,4,Tank,Fighter,582.6,95.0,267.2,40.0,325.0,44.0,4.0,32.1,1.25,125.0,8.5,0.75,8.5,0.8,0.0,0.0,61.54,3.5,1.13,0.625
12,9.2.1,Brand,63,Brand,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...","{'full': 'Brand.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 48, 'w': 48, 'h': 48}",Mana,2,2,9,4,Mage,,519.68,88.0,469.0,21.0,340.0,21.88,3.5,30.0,0.5,550.0,5.5,0.55,10.665,0.6,0.0,0.0,57.04,3.0,1.36,0.625
13,9.2.1,Braum,201,Braum,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...","{'full': 'Braum.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 144, 'y': 48, 'w': 48, 'h': 48}",Mana,3,9,4,3,Support,Tank,540.0,87.0,310.6,45.0,335.0,47.0,4.0,32.1,1.25,125.0,8.0,1.0,6.0,0.8,0.0,0.0,55.376,3.2,3.5,0.644
14,9.2.1,Caitlyn,51,Caitlyn,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...","{'full': 'Caitlyn.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 192, 'y': 48, 'w': 48, 'h': 48}",Mana,8,2,2,6,Marksman,,481.0,91.0,313.7,35.0,325.0,28.0,3.5,30.0,0.5,650.0,3.5,0.55,7.4,0.55,0.0,0.0,58.0,2.88,4.0,0.625
15,9.2.1,Camille,164,Camille,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...","{'full': 'Camille.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 48, 'w': 48, 'h': 48}",Mana,8,6,3,4,Fighter,Tank,575.6,85.0,338.8,32.0,340.0,35.0,3.8,32.1,1.25,125.0,8.5,0.8,8.15,0.75,0.0,0.0,68.0,3.5,2.5,0.625
16,9.2.1,Cassiopeia,69,Cassiopeia,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...","{'full': 'Cassiopeia.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 288, 'y': 48, 'w': 48, 'h': 48}",Mana,2,3,9,10,Mage,,537.0,87.0,418.0,31.5,328.0,25.0,3.5,30.0,0.5,550.0,5.5,0.5,8.0,0.8,0.0,0.0,53.0,3.0,1.5,0.647
17,9.2.1,Chogath,31,Cho'Gath,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...","{'full': 'Chogath.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 336, 'y': 48, 'w': 48, 'h': 48}",Mana,3,7,7,5,Tank,Mage,574.4,80.0,272.2,40.0,345.0,38.0,3.5,32.1,1.25,125.0,9.0,0.85,7.206,0.45,0.0,0.0,69.0,4.2,1.44,0.625
18,9.2.1,Corki,42,Corki,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...","{'full': 'Corki.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 384, 'y': 48, 'w': 48, 'h': 48}",Mana,8,3,6,6,Marksman,,518.0,87.0,350.16,34.0,325.0,28.0,3.5,30.0,0.5,550.0,5.5,0.55,7.424,0.55,0.0,0.0,60.0,3.0,2.3,0.638
19,9.2.1,Darius,122,Darius,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...","{'full': 'Darius.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 432, 'y': 48, 'w': 48, 'h': 48}",Mana,9,5,1,2,Fighter,Tank,582.24,100.0,263.0,37.5,340.0,39.0,4.0,32.1,1.25,175.0,10.0,0.95,6.6,0.35,0.0,0.0,64.0,5.0,1.0,0.625
20,9.2.1,Diana,131,Diana,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...","{'full': 'Diana.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 0, 'y': 96, 'w': 48, 'h': 48}",Mana,7,6,8,4,Fighter,Mage,594.0,95.0,372.0,20.0,345.0,31.0,3.6,32.1,1.25,150.0,7.5,0.85,8.0,0.8,0.0,0.0,53.04,3.0,2.25,0.625
21,9.2.1,Draven,119,Draven,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...","{'full': 'Draven.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 48, 'y': 96, 'w': 48, 'h': 48}",Mana,9,3,1,8,Marksman,,574.0,88.0,360.56,39.0,330.0,29.0,3.3,30.0,0.5,550.0,3.75,0.7,8.042,0.65,0.0,0.0,60.0,3.61,2.7,0.679
22,9.2.1,DrMundo,36,Dr. Mundo,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...","{'full': 'DrMundo.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 96, 'w': 48, 'h': 48}",None,5,7,6,5,Fighter,Tank,582.52,89.0,0.0,0.0,345.0,36.0,3.5,32.1,1.25,125.0,8.0,0.75,0.0,0.0,0.0,0.0,61.27,3.5,2.8,0.721
23,9.2.1,Ekko,245,Ekko,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...","{'full': 'Ekko.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 144, 'y': 96, 'w': 48, 'h': 48}",Mana,5,3,7,8,Assassin,Fighter,585.0,85.0,280.0,50.0,340.0,32.0,3.0,32.0,1.25,125.0,9.0,0.9,7.0,0.8,0.0,0.0,55.0,3.0,3.3,0.688
24,9.2.1,Elise,60,Elise,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...","{'full': 'Elise.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 192, 'y': 96, 'w': 48, 'h': 48}",Mana,6,5,7,9,Mage,Fighter,534.0,93.0,324.0,50.0,330.0,27.0,3.35,30.0,0.5,550.0,5.5,0.6,6.0,0.8,0.0,0.0,55.0,3.0,1.75,0.625
25,9.2.1,Evelynn,28,Evelynn,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...","{'full': 'Evelynn.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 96, 'w': 48, 'h': 48}",Mana,4,2,7,10,Assassin,Mage,572.0,84.0,315.6,42.0,335.0,37.0,3.5,32.1,1.25,125.0,8.5,0.75,8.108,0.6,0.0,0.0,61.0,3.0,2.1,0.667
26,9.2.1,Ezreal,81,Ezreal,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...","{'full': 'Ezreal.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 288, 'y': 96, 'w': 48, 'h': 48}",Mana,7,2,6,7,Marksman,Mage,491.0,86.0,360.6,42.0,325.0,22.0,3.5,30.0,0.5,550.0,4.0,0.55,8.092,0.65,0.0,0.0,60.0,2.5,1.5,0.625
27,9.2.1,Fiddlesticks,9,Fiddlesticks,the Harbinger of Doom,"Fiddlesticks is a ghastly, living scarecrow who stalks the darkness, wielding a cruel scythe and preying upon the unwary. Once a lonely man accused of bringing famine to his village, he was tied up and left to starve in his own barren field. Resurrected...","{'full': 'Fiddlesticks.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 336, 'y': 96, 'w': 48, 'h': 48}",Mana,2,3,9,9,Mage,Support,524.4,80.0,500.0,28.0,335.0,30.0,3.5,30.0,0.5,480.0,5.5,0.6,8.0,0.8,0.0,0.0,48.36,2.625,2.11,0.625
28,9.2.1,Fiora,114,Fiora,the Grand Duelist,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...","{'full': 'Fiora.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 384, 'y': 96, 'w': 48, 'h': 48}",Mana,10,4,2,3,Fighter,Assassin,550.0,85.0,300.0,40.0,345.0,33.0,3.5,32.1,1.25,150.0,8.5,0.55,8.0,0.7,0.0,0.0,68.0,3.3,3.2,0.69
29,9.2.1,Fizz,105,Fizz,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...","{'full': 'Fizz.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 432, 'y': 96, 'w': 48, 'h': 48}",Mana,6,4,7,6,Assassin,Fighter,570.0,98.0,317.2,37.0,335.0,22.412,3.4,32.1,1.25,175.0,8.0,0.7,6.0,0.8,0.0,0.0,58.04,3.0,3.1,0.658
30,9.2.1,Galio,3,Galio,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...","{'full': 'Galio.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 0, 'y': 0, 'w': 48, 'h': 48}",Mana,1,10,6,5,Tank,Mage,562.0,112.0,500.0,20.0,335.0,24.0,3.5,32.0,1.25,150.0,8.0,0.8,9.335,0.7,0.0,0.0,59.0,3.5,1.5,0.625
31,9.2.1,Gangplank,41,Gangplank,the Saltwater Scourge,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...","{'full': 'Gangplank.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 48, 'y': 0, 'w': 48, 'h': 48}",Mana,7,6,4,9,Fighter,,540.0,82.0,282.0,40.0,345.0,35.0,3.0,32.1,1.25,125.0,6.0,0.6,7.5,0.7,0.0,0.0,64.0,3.0,3.2,0.658
32,9.2.1,Garen,86,Garen,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...","{'full': 'Garen.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 96, 'y': 0, 'w': 48, 'h': 48}",None,7,7,1,5,Fighter,Tank,616.28,84.25,0.0,0.0,340.0,36.0,3.0,32.1,1.25,175.0,8.0,0.5,0.0,0.0,0.0,0.0,66.0,4.5,2.9,0.625
33,9.2.1,Gnar,150,Gnar,the Missing Link,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...","{'full': 'Gnar.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 144, 'y': 0, 'w': 48, 'h': 48}",Rage,6,5,5,8,Fighter,Tank,510.0,65.0,100.0,0.0,325.0,32.0,2.5,30.0,0.5,175.0,4.5,1.75,0.0,0.0,0.0,0.0,59.0,3.0,6.0,0.625
34,9.2.1,Gragas,79,Gragas,the Rabble Rouser,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...","{'full': 'Gragas.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 192, 'y': 0, 'w': 48, 'h': 48}",Mana,4,7,6,5,Fighter,Mage,583.52,89.0,400.0,47.0,330.0,35.0,3.6,32.1,1.25,125.0,5.5,0.5,6.0,0.8,0.0,0.0,61.38,3.5,2.05,0.675
